event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:30,0,,,true,4,85622,2023-05-27 05:32:00,false,MANUAL,,,25,false,852C52M527,false,ON TIME,25474001,25,85622,false,,,DEPARTURE,85624,
ARRIVAL,,,2023-05-27 05:24:00,9,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,28,false,575F00M527,false,LATE,22270000,28,57435,true,,,ARRIVAL,56598,
ARRIVAL,,,2023-05-27 05:33:30,0,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,88,false,871T09M527,false,ON TIME,24747000,88,87905,true,,,ARRIVAL,87903,
DEPARTURE,,,2023-05-27 05:34:30,2,,,false,1,00000,2023-05-27 05:32:00,false,AUTOMATIC,,,88,false,629T03M427,false,EARLY,22720000,88,63216,true,UP,UP,DEPARTURE,63252,S
ARRIVAL,,,2023-05-27 05:35:30,1,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,,,88,false,629T03M427,false,EARLY,22720000,88,63252,true,,,ARRIVAL,63405,
ARRIVAL,,,2023-05-27 05:33:30,0,,,true,1,74023,2023-05-27 05:33:00,false,AUTOMATIC,,,33,false,745R27M527,false,ON TIME,21381008,33,74023,true,,,ARRIVAL,74233,
DEPARTURE,,,2023-05-27 05:31:30,2,,,true,3,89556,2023-05-27 05:33:00,false,AUTOMATIC,,,80,false,895Y071427,false,LATE,24647005,80,89556,true,UP,UP,DEPARTURE,89554,U
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:30,0,,,true,5,40076,2023-05-27 05:32:00,false,AUTOMATIC,, 1,71,false,401V91M427,false,ON TIME,22340000,71,40076,true,UP,UP,DEPARTURE,40101,U
ARRIVAL,2023-05-27 05:38:00,,2023-05-27 05:37:00,0,,,false,1,00000,2023-05-27 05:37:00,false,AUTOMATIC,, 1,71,false,401V91M427,false,ON TIME,22340000,71,40101,true,DOWN,DOWN,ARRIVAL,40114,U
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:33:30,0,,,true,1,53248,2023-05-27 05:33:00,false,AUTOMATIC,, 3,88,false,542B00M527,false,ON TIME,21724000,88,53248,true,DOWN,DOWN,ARRIVAL,53246,
